sex,year,age,drive_prop
female,1999,71,0.797979797979798
female,1999,72,0.6103896103896104
female,1999,73,0.6470588235294118
female,1999,74,0.6701030927835051
female,1999,75,0.6896551724137931
female,1999,76,0.6197183098591549
female,1999,77,0.7323943661971831
female,1999,78,0.6710526315789473
female,1999,79,0.6987951807228916
female,1999,80,0.76
male,1999,17,0.5229357798165137
male,1999,18,0.6636363636363637
male,1999,19,0.7716535433070866
male,1999,20,0.8508771929824561
male,1999,21,0.9019607843137255
male,1999,22,0.9090909090909091
male,1999,23,0.9175257731958762
male,1999,24,0.9152542372881356
male,1999,25,0.8461538461538461
male,1999,26,0.9398496240601504
male,1999,27,0.9298245614035088
male,1999,28,0.9777777777777777
male,1999,29,0.9448818897637795
male,1999,30,0.9590163934426229
male,1999,31,0.984251968503937
male,1999,32,0.9712230215827338
male,1999,33,0.9784172661870504
male,1999,34,0.9527027027027027
male,1999,35,0.9632352941176471
male,1999,36,0.9932432432432432
male,1999,37,0.9577464788732394
male,1999,38,0.9602649006622517
male,1999,39,0.96
male,1999,40,0.9606299212598425
male,1999,41,0.9763779527559056
male,1999,42,0.9920634920634921
male,1999,43,0.9769230769230769
male,1999,44,0.9811320754716981
male,1999,45,0.9026548672566371
male,1999,46,0.9702970297029703
male,1999,47,0.911504424778761
male,1999,48,0.9734513274336283
male,1999,49,0.9553571428571429
male,1999,50,0.9368421052631579
male,1999,51,0.9504132231404959
male,1999,52,0.9807692307692307
male,1999,53,0.9484536082474226
male,1999,54,0.98
male,1999,55,0.9534883720930233
male,1999,56,0.9732142857142857
male,1999,57,0.9532710280373832
male,1999,58,0.963855421686747
male,1999,59,0.9375
male,1999,60,0.9534883720930233
male,1999,61,0.9468085106382979
male,1999,62,0.9146341463414634
male,1999,63,0.927536231884058
male,1999,64,0.9736842105263158
male,1999,65,0.9285714285714286
male,1999,66,0.8955223880597015
male,1999,67,0.8875
male,1999,68,0.9493670886075949
male,1999,69,0.9154929577464789
male,1999,70,0.9574468085106383
male,1999,71,0.9672131147540983
male,1999,72,0.9102564102564102
male,1999,73,0.8805970149253731
male,1999,74,0.9482758620689655
male,1999,75,0.9016393442622951
male,1999,76,0.9444444444444444
male,1999,77,0.9090909090909091
male,1999,78,0.8852459016393442
male,1999,79,0.9024390243902439
male,1999,80,0.8780487804878049
female,2e3,17,0.42857142857142855
female,2e3,18,0.5089285714285714
female,2e3,19,0.7226277372262774
female,2e3,20,0.6854838709677419
female,2e3,21,0.762962962962963
female,2e3,22,0.7971014492753623
female,2e3,23,0.8699186991869918
female,2e3,24,0.8823529411764706
female,2e3,25,0.8402777777777778
female,2e3,26,0.7580645161290323
female,2e3,27,0.8333333333333334
female,2e3,28,0.8466666666666667
female,2e3,29,0.8872180451127819
female,2e3,30,0.9172413793103448
female,2e3,31,0.87248322147651
female,2e3,32,0.8493975903614458
female,2e3,33,0.89375
female,2e3,34,0.84375
female,2e3,35,0.8861386138613861
female,2e3,36,0.8695652173913043
female,2e3,37,0.888268156424581
female,2e3,38,0.8838709677419355
female,2e3,39,0.8848484848484849
female,2e3,40,0.8589743589743589
female,2e3,41,0.9261744966442953
female,2e3,42,0.8432835820895522
female,2e3,43,0.8347826086956521
female,2e3,44,0.8356164383561644
female,2e3,45,0.8467153284671532
female,2e3,46,0.9076923076923077
female,2e3,47,0.8292682926829268
female,2e3,48,0.8403361344537815
female,2e3,49,0.8082191780821918
female,2e3,50,0.813953488372093
female,2e3,51,0.8055555555555556
female,2e3,52,0.8267716535433071
female,2e3,53,0.7278911564625851
female,2e3,54,0.7857142857142857
female,2e3,55,0.7952755905511811
female,2e3,56,0.7636363636363637
female,2e3,57,0.7739130434782608
female,2e3,58,0.7272727272727273
female,2e3,59,0.7777777777777778
female,2e3,60,0.6292134831460674
female,2e3,61,0.7582417582417582
female,2e3,62,0.7373737373737373
female,2e3,63,0.7325581395348837
female,2e3,64,0.7294117647058823
female,2e3,65,0.6593406593406593
female,2e3,66,0.7849462365591398
female,2e3,67,0.6666666666666666
female,2e3,68,0.6739130434782609
female,2e3,69,0.5925925925925926
female,2e3,70,0.6976744186046512
female,2e3,71,0.6292134831460674
female,2e3,72,0.6781609195402298
female,2e3,73,0.6027397260273972
female,2e3,74,0.6410256410256411
female,2e3,75,0.6344086021505376
female,2e3,76,0.575
female,2e3,77,0.582089552238806
female,2e3,78,0.6461538461538462
female,2e3,79,0.6086956521739131
female,2e3,80,0.6621621621621622
male,2e3,17,0.5789473684210527
male,2e3,18,0.6306306306306306
male,2e3,19,0.7452830188679245
male,2e3,20,0.8057553956834532
male,2e3,21,0.811965811965812
male,2e3,22,0.826530612244898
male,2e3,23,0.8365384615384616
male,2e3,24,0.9252336448598131
male,2e3,25,0.8916666666666667
male,2e3,26,0.872
male,2e3,27,0.9259259259259259
male,2e3,28,0.9457364341085271
male,2e3,29,0.9538461538461539
male,2e3,30,0.9327731092436975
male,2e3,31,0.9583333333333334
male,2e3,32,0.9712230215827338
male,2e3,33,0.9705882352941176
male,2e3,34,0.968
male,2e3,35,0.9657534246575342
male,2e3,36,0.9416058394160584
male,2e3,37,0.9645390070921985
male,2e3,38,0.9772727272727273
male,2e3,39,0.9605263157894737
male,2e3,40,0.9459459459459459
male,2e3,41,0.9615384615384616
male,2e3,42,0.952755905511811
male,2e3,43,0.952755905511811
male,2e3,44,0.9836065573770492
male,2e3,45,0.9532710280373832
male,2e3,46,0.9320388349514563
male,2e3,47,0.9736842105263158
male,2e3,48,0.9105691056910569
male,2e3,49,0.9215686274509803
male,2e3,50,0.941747572815534
male,2e3,51,0.9574468085106383
male,2e3,52,0.968
male,2e3,53,0.9605263157894737
male,2e3,54,0.9361702127659575
male,2e3,55,0.9278350515463918
male,2e3,56,0.9647058823529412
male,2e3,57,0.9716981132075472
male,2e3,58,0.9444444444444444
male,2e3,59,0.9879518072289156
male,2e3,60,0.9041095890410958
male,2e3,61,0.9302325581395349
male,2e3,62,0.945054945054945
male,2e3,63,0.9156626506024096
male,2e3,64,0.9333333333333333
male,2e3,65,0.9705882352941176
male,2e3,66,0.8714285714285714
male,2e3,67,0.92
