sex,year,age,mean_ghq
female,1999,73,2.2289156626506026
female,1999,74,2.1595744680851063
female,1999,75,2.2839506172839505
female,1999,76,2.0441176470588234
female,1999,77,2.611940298507463
female,1999,78,2.4507042253521125
female,1999,79,1.8227848101265822
female,1999,80,2.369565217391304
female,1999,81,2.108108108108108
female,1999,82,1.8695652173913044
female,1999,83,2.7419354838709675
female,1999,84,2.392857142857143
female,1999,85,2
female,1999,86,2.689655172413793
female,1999,87,2.1578947368421053
female,1999,88,3.857142857142857
female,1999,89,2.8461538461538463
female,1999,90,1.9230769230769231
female,1999,91,3.8333333333333335
female,1999,92,1.5
female,1999,93,1
female,1999,94,1.3333333333333333
female,1999,95,9
female,1999,96,2
female,1999,98,0
female,1999,101,NaN
female,1999,NA,0
female,2e3,15,2.1333333333333333
female,2e3,16,1.8484848484848484
female,2e3,17,2.8840579710144927
female,2e3,18,2.3363636363636364
female,2e3,19,2.6956521739130435
female,2e3,20,2.30327868852459
female,2e3,21,2.885496183206107
female,2e3,22,2.4525547445255476
female,2e3,23,1.7603305785123966
female,2e3,24,2.2735042735042734
female,2e3,25,1.9
female,2e3,26,2.512396694214876
female,2e3,27,2.021897810218978
female,2e3,28,2.14
female,2e3,29,2.6818181818181817
female,2e3,30,2.388888888888889
female,2e3,31,2.084507042253521
female,2e3,32,2.3190184049079754
female,2e3,33,2.050314465408805
female,2e3,34,2.5
female,2e3,35,2.8606965174129355
female,2e3,36,2.458563535911602
female,2e3,37,2.462857142857143
female,2e3,38,1.9806451612903226
female,2e3,39,2.382716049382716
female,2e3,40,2.7337662337662336
female,2e3,41,2.5448275862068965
female,2e3,42,1.9172932330827068
female,2e3,43,2.6
female,2e3,44,2.104895104895105
female,2e3,45,2.1313868613138687
female,2e3,46,2.0310077519379846
female,2e3,47,2.6885245901639343
female,2e3,48,2.6
female,2e3,49,2.288732394366197
female,2e3,50,2.373015873015873
female,2e3,51,2.1714285714285713
female,2e3,52,2.4274193548387095
female,2e3,53,2.4722222222222223
female,2e3,54,1.9841269841269842
female,2e3,55,2.2338709677419355
female,2e3,56,3.0841121495327104
female,2e3,57,1.8407079646017699
female,2e3,58,2.4132231404958677
female,2e3,59,1.471264367816092
female,2e3,60,1.528735632183908
female,2e3,61,1.9120879120879122
female,2e3,62,2.121212121212121
female,2e3,63,1.9761904761904763
female,2e3,64,1.783132530120482
female,2e3,65,1.6741573033707866
female,2e3,66,2.0543478260869565
female,2e3,67,1.825
female,2e3,68,1.5617977528089888
female,2e3,69,1.7012987012987013
female,2e3,70,1.8170731707317074
female,2e3,71,2.1604938271604937
female,2e3,72,2.2804878048780486
female,2e3,73,2.1159420289855073
female,2e3,74,2.0921052631578947
female,2e3,75,2.284090909090909
female,2e3,76,2.364864864864865
female,2e3,77,3.292307692307692
female,2e3,78,1.765625
female,2e3,79,2.25
female,2e3,80,2.260869565217391
female,2e3,81,2.3255813953488373
female,2e3,82,2.1621621621621623
female,2e3,83,2.3823529411764706
female,2e3,84,2.875
female,2e3,85,2.44
female,2e3,86,2.2758620689655173
female,2e3,87,2.217391304347826
female,2e3,88,3.357142857142857
female,2e3,89,3.2
female,2e3,90,2.727272727272727
female,2e3,91,0.8
female,2e3,92,0
female,2e3,93,2.6666666666666665
female,2e3,94,4.8
female,2e3,95,3
female,2e3,97,NaN
female,2e3,99,3
female,2e3,101,NaN
female,2001,15,1.9666666666666666
female,2001,16,1.912280701754386
female,2001,17,2
female,2001,18,1.9150326797385622
female,2001,19,2.525925925925926
female,2001,20,2.5090909090909093
female,2001,21,2.1153846153846154
female,2001,22,2.1944444444444446
female,2001,23,2.006060606060606
female,2001,24,1.5633802816901408
female,2001,25,1.7463768115942029
female,2001,26,1.5493827160493827
female,2001,27,2.4802631578947367
female,2001,28,2.17816091954023
female,2001,29,2.179190751445087
female,2001,30,2.708791208791209
female,2001,31,1.9438202247191012
female,2001,32,2.4146341463414633
female,2001,33,2.3229166666666665
female,2001,34,2.405940594059406
female,2001,35,2.4947916666666665
female,2001,36,2.334841628959276
female,2001,37,2.4055299539170507
female,2001,38,2.5918367346938775
